epoch,learning_rate,loss,val_loss
0,0.0005000000237487257,999.3842163085938,1195.7791748046875
1,0.0005000000237487257,984.6725463867188,1212.24951171875
2,0.0005000000237487257,961.5584106445312,1254.935546875
3,0.0005000000237487257,955.5065307617188,1278.11669921875
4,0.0002500000118743628,882.75146484375,1099.8974609375
5,0.0002500000118743628,864.6393432617188,1074.9525146484375
6,0.0002500000118743628,868.5960083007812,1072.2806396484375
7,0.0002500000118743628,851.64404296875,1109.1649169921875
8,0.0002500000118743628,842.9276733398438,1086.993408203125
9,0.0002500000118743628,836.1928100585938,1074.9991455078125
10,0.0001250000059371814,798.604736328125,1053.3331298828125
11,0.0001250000059371814,790.2278442382812,1036.0184326171875
12,0.0001250000059371814,787.8330688476562,1036.6014404296875
13,0.0001250000059371814,783.926025390625,1047.279052734375
14,0.0001250000059371814,778.5011596679688,1027.611572265625
15,0.0001250000059371814,776.3892822265625,1028.3250732421875
16,0.0001250000059371814,772.9862060546875,1020.8690795898438
17,0.0001250000059371814,768.55517578125,1019.3533935546875
18,0.0001250000059371814,765.306884765625,1025.98046875
19,0.0001250000059371814,761.8795166015625,1024.8941650390625
20,0.0001250000059371814,758.0631103515625,1027.020263671875
21,6.25000029685907e-05,739.0897216796875,1003.9885864257812
22,6.25000029685907e-05,737.5582885742188,1002.6779174804688
23,6.25000029685907e-05,733.8307495117188,1002.2908325195312
24,6.25000029685907e-05,732.2071533203125,1003.6448364257812
25,6.25000029685907e-05,730.4375610351562,1004.7208862304688
26,6.25000029685907e-05,731.3755493164062,1012.5344848632812
27,3.125000148429535e-05,721.8951416015625,995.2431640625
28,3.125000148429535e-05,717.8280639648438,995.4913940429688
29,3.125000148429535e-05,717.1354370117188,993.6400756835938
30,3.125000148429535e-05,715.9800415039062,993.0219116210938
31,3.125000148429535e-05,715.0848388671875,992.3318481445312
32,3.125000148429535e-05,713.9766235351562,994.7333984375
33,3.125000148429535e-05,713.1138305664062,993.6007080078125
34,3.125000148429535e-05,712.1102294921875,990.94384765625
35,3.125000148429535e-05,712.7034301757812,991.7730712890625
36,3.125000148429535e-05,710.0244140625,994.2572021484375
37,3.125000148429535e-05,709.4978637695312,989.0584716796875
38,3.125000148429535e-05,708.8907470703125,989.3400268554688
39,3.125000148429535e-05,707.890869140625,988.9926147460938
